id_servico,id_cliente,id_heroi,dt_checkin,dt_checkout,tipo_servico,status_conversao_servico,servico_com_taxas,teve_resposta_formatado,tempo_de_resposta_horas,valor_inicial,status_conversao_cliente,quantidade_herois_contatados
3325154,3215463,1499414,2025-03-01,2025-03-04,boarding,Não Convertido,0.0,Sim,0.588611111,255.0,Converteu uma das necessidades,3
1205898,2924812,1744982,2025-03-01,2025-03-02,day_care,Não Convertido,570.0,Sim,0.092222222,570.0,Não Converteu nenhuma das necessidades,5
3302922,2790559,2288799,2025-02-28,2025-03-05,boarding,Não Convertido,0.0,Não,,325.0,Não Converteu nenhuma das necessidades,3
1195600,3206225,2635190,2025-03-03,2025-03-03,pet_sitting,Não Convertido,28.0,Não,,28.0,Converteu uma das necessidades,9
1194000,3124538,97457,2025-03-02,2025-03-02,pet_sitting,Convertido,87.5,Sim,0.059166667,87.5,Converteu uma das necessidades,1
3320387,3212453,2060442,2025-03-04,2025-03-11,boarding,Não Convertido,0.0,Não,,455.0,Converteu uma das necessidades,4
1199596,3208755,2648198,2025-03-03,2025-03-03,pet_sitting,Não Convertido,0.0,Sim,24.033611111,520.0,Não Converteu nenhuma das necessidades,5
3312666,3151490,167318,2025-03-01,2025-03-04,boarding,Não Convertido,0.0,Sim,52.743611111,195.0,Converteu uma das necessidades,1
3308438,3202429,3112825,2025-02-28,2025-03-05,boarding,Não Convertido,0.0,Sim,7.004166667,465.0,Converteu uma das necessidades,16
1203317,2613482,2529271,2025-03-02,2025-03-02,pet_sitting,Não Convertido,236.0,Não,,236.0,Converteu uma das necessidades,1
1203841,2798141,1514877,2025-03-02,2025-03-02,pet_sitting,Não Convertido,0.0,Sim,0.851111111,82.5,Converteu uma das necessidades,8
3316188,3171885,2434291,2025-03-01,2025-03-01,boarding,Não Convertido,0.0,Não,,36.0,Não Converteu nenhuma das necessidades,2
1204913,3214651,2631661,2025-03-04,2025-03-05,pet_sitting,Convertido,0.0,Sim,0.104166667,56.0,Converteu uma das necessidades,4
3321851,2332571,179550,2025-02-28,2025-03-04,boarding,Não Convertido,0.0,Não,,340.0,Converteu uma das necessidades,7
3320904,1618714,2045852,2025-02-28,2025-03-05,boarding,Não Convertido,0.0,Não,,245.0,Não Converteu nenhuma das necessidades,2
3314507,3205926,464539,2025-03-02,2025-03-09,boarding,Não Convertido,0.0,Sim,0.436111111,525.0,Não Converteu nenhuma das necessidades,8
3314216,3207736,2060442,2025-03-01,2025-03-05,boarding,Não Convertido,0.0,Sim,1.920555556,260.0,Não Converteu nenhuma das necessidades,1
3306545,1505403,780377,2025-03-03,2025-04-02,boarding,Não Convertido,1922.5,Sim,0.276944444,2040.0,Converteu uma das necessidades,1
1192850,2930250,1722517,2025-03-01,2025-03-01,pet_sitting,Convertido,0.0,Sim,0,540.0,Converteu uma das necessidades,1
1204593,3186038,3108701,2025-03-02,2025-03-02,pet_sitting,Convertido,15.0,Sim,,15.0,Converteu uma das necessidades,1
1205458,2197988,1544041,2025-03-05,2025-03-05,pet_sitting,Convertido,67.0,Sim,,67.0,Converteu uma das necessidades,2
1195654,3125238,1484304,2025-03-02,2025-03-02,pet_sitting,Convertido,38.0,Sim,0.315277778,38.0,Converteu uma das necessidades,3
1198345,3145437,2079077,2025-03-01,2025-03-01,pet_sitting,Convertido,67.0,Sim,,67.0,Converteu uma das necessidades,1
1206578,2992624,1544041,2025-03-03,2025-03-03,pet_sitting,Convertido,67.0,Sim,0.033055556,67.0,Converteu uma das necessidades,2
3315500,2372196,2113275,2025-02-28,2025-03-05,boarding,Não Convertido,0.0,Sim,0.057777778,295.0,Não Converteu nenhuma das necessidades,3
3322964,2450552,2892035,2025-02-28,2025-03-04,boarding,Não Convertido,0.0,Sim,0.248055556,260.0,Não Converteu nenhuma das necessidades,4
3292094,126300,1509718,2025-03-02,2025-03-09,boarding,Não Convertido,0.0,Sim,1.875555556,490.0,Não Converteu nenhuma das necessidades,2
1207101,1895949,2507401,2025-03-03,2025-03-03,pet_sitting,Não Convertido,0.0,Sim,0.073055556,600.0,Converteu uma das necessidades,3
3322531,3212164,60878,2025-03-01,2025-03-05,boarding,Não Convertido,0.0,Sim,2.089166667,260.0,Não Converteu nenhuma das necessidades,3
3304244,3198935,2197198,2025-02-28,2025-03-04,boarding,Não Convertido,0.0,Sim,0.881666667,260.0,Não Converteu nenhuma das necessidades,1
3299801,3194685,1559918,2025-03-03,2025-03-13,boarding,Não Convertido,0.0,Sim,0.14,800.0,Não Converteu nenhuma das necessidades,1
3313972,1732498,1447089,2025-02-28,2025-03-04,boarding,Não Convertido,0.0,Sim,2.226944444,260.0,Não Converteu nenhuma das necessidades,8
3319883,3143252,1047747,2025-02-28,2025-03-05,boarding,Não Convertido,0.0,Sim,1.653333333,375.0,Não Converteu nenhuma das necessidades,4
1180346,3189455,2631967,2025-03-01,2025-03-01,pet_sitting,Não Convertido,0.0,Sim,0.021944444,495.0,Não Converteu nenhuma das necessidades,1
3325396,3203290,470066,2025-03-04,2025-03-09,boarding,Não Convertido,0.0,Sim,0.279166667,325.0,Não Converteu nenhuma das necessidades,4
3315998,3209098,2732653,2025-03-01,2025-03-04,boarding,Não Convertido,0.0,Sim,195.9075,249.0,Não Converteu nenhuma das necessidades,2
3314849,3208165,499921,2025-03-01,2025-03-08,boarding,Não Convertido,0.0,Sim,7.606111111,420.0,Não Converteu nenhuma das necessidades,1
3325545,3215713,966319,2025-03-02,2025-03-05,boarding,Não Convertido,0.0,Sim,0.415555556,204.0,Não Converteu nenhuma das necessidades,1
3326329,3216266,2681718,2025-03-03,2025-03-03,boarding,Não Convertido,0.0,Sim,0.185,99.0,Não Converteu nenhuma das necessidades,3
